job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
302317623,BIS,2007,BROOKLYN,OTHERS,6,Mid (4-10 fl),4274,140.4,,,4274,140.4,True,Y
302317767,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),1652,54.3,,,,,False,Y
302318070,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),911,29.9,,,,,False,Y
302318098,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),651,21.4,,,,,False,Y
302318105,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),650,21.4,,,,,False,Y
302318114,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),651,21.4,,,,,False,Y
302318123,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),650,21.4,,,,,False,Y
302318132,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),624,20.5,,,,,False,Y
302318178,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),619,20.3,,,,,False,Y
302318203,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),619,20.3,,,,,False,Y
302318212,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),619,20.3,,,,,False,Y
302318221,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),619,20.3,,,,,False,Y
302318276,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),714,23.5,,,,,False,Y
302318356,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),768,25.2,,,,,False,Y
302318365,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),719,23.6,,,,,False,Y
302318374,BIS,2007,BROOKLYN,1-2-3 FAMILY,3,Small (1-3 fl),720,23.7,,,,,False,Y
