job,system,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_permit_days,filing_to_permit_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
B00520132-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Tower (30+ fl),1063,34.9,170,5.6,,,False,
B00521725-I1,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1704,56.0,200,6.6,,,False,
B00528189-S3,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),209,6.9,27,0.9,,,False,
B00528655-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),868,28.5,233,7.7,,,False,
B00528655-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),772,25.4,266,8.7,,,False,
B00528655-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),868,28.5,497,16.3,,,False,
B00528655-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),876,28.8,608,20.0,,,False,
B00528655-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),876,28.8,560,18.4,,,False,
B00529427-S1,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),531,17.4,160,5.3,,,False,
B00529427-S2,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),415,13.6,74,2.4,,,False,
B00529427-S3,DOB NOW,2022,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1152,37.8,52,1.7,,,False,
B00529604-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),879,28.9,556,18.3,,,False,
B00529604-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),931,30.6,680,22.3,,,False,
B00529604-S3,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),697,22.9,363,11.9,,,False,
B00529604-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),852,28.0,650,21.4,,,False,
B00529604-S5,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),671,22.0,306,10.1,,,False,
B00529604-S6,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),672,22.1,118,3.9,,,False,
B00529604-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),883,29.0,803,26.4,,,False,
B00529604-S8,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),373,12.3,9,0.3,,,False,
B00531546-S1,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),216,7.1,97,3.2,,,False,
B00531546-S2,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),252,8.3,97,3.2,,,False,
B00531546-S3,DOB NOW,2022,BROOKLYN,OTHERS,0,Mid (4-10 fl),717,23.6,223,7.3,,,False,
B00531676-I1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1721,56.5,298,9.8,,,False,
B00531676-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1178,38.7,1151,37.8,,,False,
B00531676-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1160,38.1,272,8.9,,,False,
B00531676-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1060,34.8,425,14.0,,,False,
B00531676-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1238,40.7,279,9.2,,,False,
B00531676-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1016,33.4,436,14.3,,,False,
B00531676-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),867,28.5,119,3.9,,,False,
B00531676-S7,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),832,27.3,72,2.4,,,False,
B00531676-S8,DOB NOW,2022,BROOKLYN,OTHERS,0,Large (11-30 fl),796,26.1,223,7.3,,,False,
B00531676-Z1,DOB NOW,2024,BROOKLYN,OTHERS,0,Large (11-30 fl),280,9.2,14,0.5,,,False,
B00532024-S1,DOB NOW,2023,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),432,14.2,404,13.3,,,False,
B00536330-I1,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1245,40.9,650,21.4,,,False,
B00536330-S1,DOB NOW,2023,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),189,6.2,42,1.4,,,False,
B00537736-Z1,DOB NOW,2024,BROOKLYN,OTHERS,0,Mid (4-10 fl),409,13.4,4,0.1,,,False,
B00543029-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),562,18.5,536,17.6,,,False,
B00543029-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),470,15.4,52,1.7,,,False,
B00544050-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),751,24.7,214,7.0,,,False,
B00544050-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),751,24.7,212,7.0,,,False,
B00544050-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),755,24.8,215,7.1,,,False,
B00544050-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),735,24.1,285,9.4,,,False,
B00544050-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),705,23.2,211,6.9,,,False,
B00546531-I1,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1188,39.0,365,12.0,,,False,
B00548222-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),546,17.9,219,7.2,,,False,
B00548222-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),546,17.9,337,11.1,,,False,
B00548222-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),539,17.7,520,17.1,,,False,
B00548222-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),537,17.6,187,6.1,,,False,
B00548222-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),651,21.4,390,12.8,,,False,
B00548222-S6,DOB NOW,2021,BROOKLYN,OTHERS,0,Mid (4-10 fl),641,21.1,503,16.5,,,False,
B00550357-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),652,21.4,202,6.6,,,False,
B00550357-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),854,28.1,643,21.1,,,False,
B00550357-S3,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),854,28.1,253,8.3,,,False,
B00550357-S4,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),625,20.5,177,5.8,,,False,
B00550357-S5,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),491,16.1,201,6.6,,,False,
B00550841-S5,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),607,19.9,32,1.1,,,False,
B00550841-S6,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),621,20.4,320,10.5,,,False,
B00550841-S7,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),511,16.8,248,8.1,,,False,
B00550841-S9,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),602,19.8,497,16.3,,,False,
B00550841-Z1,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),537,17.6,349,11.5,,,False,
B00550841-Z2,DOB NOW,2024,BROOKLYN,1-2-3 FAMILY,0,Small (1-3 fl),479,15.7,454,14.9,,,False,
B00554199-S1,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),890,29.2,250,8.2,,,False,
B00554199-S2,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1021,33.5,1008,33.1,,,False,
B00554199-S3,DOB NOW,2021,BROOKLYN,1-2-3 FAMILY,0,Mid (4-10 fl),1013,33.3,397,13.0,,,False,
B00554452-S1,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),1045,34.3,428,14.1,,,False,
B00554452-S2,DOB NOW,2021,BROOKLYN,OTHERS,0,Large (11-30 fl),980,32.2,114,3.7,,,False,
