job,filing_year,borough,building_type,stories,size,filing_to_signoff_days,filing_to_signoff_months,filing_to_co_days,filing_to_co_months,has_co,pc_filed
421368166,2016,QUEENS,OTHERS,0,Small (1-3 fl),1958,64.3,1435,47.1,True,
421369209,2017,QUEENS,OTHERS,0,Small (1-3 fl),1505,49.4,1505,49.4,True,
421369218,2017,QUEENS,OTHERS,0,Small (1-3 fl),904,29.7,904,29.7,True,
421369227,2017,QUEENS,OTHERS,0,Small (1-3 fl),1267,41.6,1030,33.8,True,
421369236,2017,QUEENS,OTHERS,0,Small (1-3 fl),1433,47.1,1266,41.6,True,
421369245,2017,QUEENS,OTHERS,0,Small (1-3 fl),1296,42.6,1115,36.6,True,
421370242,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),741,24.3,741,24.3,True,
421370377,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1963,64.5,1963,64.5,True,
421370901,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1854,60.9,1854,60.9,True,
421370910,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1853,60.9,1853,60.9,True,
421370929,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),2156,70.8,2156,70.8,True,
421371848,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1276,41.9,1276,41.9,True,
421371875,2017,QUEENS,OTHERS,0,Small (1-3 fl),791,26.0,791,26.0,True,
421371884,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),850,27.9,850,27.9,True,
421371893,2017,QUEENS,OTHERS,0,Small (1-3 fl),942,30.9,942,30.9,True,
421371919,2016,QUEENS,OTHERS,4,Mid (4-10 fl),1434,47.1,1434,47.1,True,
421372099,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),512,16.8,512,16.8,True,
421372115,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),574,18.9,574,18.9,True,
421372375,2016,QUEENS,OTHERS,4,Mid (4-10 fl),1203,39.5,1112,36.5,True,
421372400,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),771,25.3,771,25.3,True,
421372464,2016,QUEENS,1-2-3 FAMILY,4,Mid (4-10 fl),2376,78.1,2376,78.1,True,
421372473,2018,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),1765,58.0,1765,58.0,True,
421372945,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),532,17.5,,,False,
421373132,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),865,28.4,865,28.4,True,
421373141,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),862,28.3,,,False,
421373515,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),981,32.2,981,32.2,True,
421374266,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),738,24.2,738,24.2,True,
421374275,2017,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1241,40.8,1241,40.8,True,
421374300,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),2029,66.7,2029,66.7,True,
421374444,2016,QUEENS,OTHERS,5,Mid (4-10 fl),3121,102.5,3121,102.5,True,
421374649,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),2163,71.1,2163,71.1,True,
421375274,2016,QUEENS,OTHERS,6,Mid (4-10 fl),2840,93.3,2840,93.3,True,
421375728,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),2118,69.6,2118,69.6,True,
421376497,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),744,24.4,744,24.4,True,
421376727,2017,QUEENS,OTHERS,0,Small (1-3 fl),795,26.1,795,26.1,True,
421376754,2017,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),827,27.2,827,27.2,True,
421376950,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1840,60.4,1840,60.4,True,
421376969,2016,QUEENS,1-2-3 FAMILY,3,Small (1-3 fl),1659,54.5,1659,54.5,True,
421377085,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),2037,66.9,2037,66.9,True,
421377094,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1975,64.9,1975,64.9,True,
421377110,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),1986,65.2,1986,65.2,True,
421377575,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),2014,66.2,2014,66.2,True,
421377977,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),2065,67.8,2065,67.8,True,
421378681,2016,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),1172,38.5,1172,38.5,True,
421378690,2016,QUEENS,1-2-3 FAMILY,0,Small (1-3 fl),1147,37.7,1147,37.7,True,
421379298,2016,QUEENS,OTHERS,0,Small (1-3 fl),3243,106.5,3243,106.5,True,
421379403,2016,QUEENS,OTHERS,4,Mid (4-10 fl),997,32.8,,,False,
421379421,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),831,27.3,831,27.3,True,
421380179,2016,QUEENS,OTHERS,0,Small (1-3 fl),361,11.9,361,11.9,True,
421380268,2017,QUEENS,OTHERS,0,Small (1-3 fl),2192,72.0,2192,72.0,True,
421380384,2016,QUEENS,1-2-3 FAMILY,2,Small (1-3 fl),695,22.8,695,22.8,True,
421380491,2016,QUEENS,1-2-3 FAMILY,4,Mid (4-10 fl),959,31.5,959,31.5,True,
421380516,2016,QUEENS,1-2-3 FAMILY,4,Mid (4-10 fl),980,32.2,980,32.2,True,
421382293,2016,QUEENS,OTHERS,4,Mid (4-10 fl),1252,41.1,1252,41.1,True,
421382435,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1218,40.0,952,31.3,True,
421382444,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1158,38.0,752,24.7,True,
421382453,2016,QUEENS,1-2-3 FAMILY,1,Small (1-3 fl),1163,38.2,913,30.0,True,
